LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.7 on Thu Dec 26 20:32:42 +0330 2019
 500 atoms
 2 bonds
 0 angles
 0 dihedrals
 0 impropers
 2 atom types
 1 bond types
 0 angle types
 0 dihedral types
 0 improper types
 -0.500000 0.500000  xlo xhi
 -0.500000 0.500000  ylo yhi
 -0.500000 0.500000  zlo zhi

# Pair Coeffs
#
# 1  AL
# 2  O

# Bond Coeffs
#
# 1  

 Masses

 1 26.981539 # AL
 2 15.999400 # O

 Atoms # full

162 2 1 0.000000 46.618999 7.753000 84.749001 # AL UNL
163 3 2 0.000000 48.648998 9.118000 77.777000 # O HOH
164 4 2 0.000000 45.634998 17.724001 86.105003 # O HOH
165 5 2 0.000000 45.129002 3.404000 90.501999 # O HOH
166 1 1 0.000000 32.484001 15.795000 54.557999 # AL UNL
167 2 1 0.000000 37.617001 13.910000 55.319000 # AL UNL
168 3 2 0.000000 34.740002 16.747999 49.132999 # O HOH
169 4 2 0.000000 28.680000 15.394000 59.807999 # O HOH
170 5 2 0.000000 42.981998 10.929000 59.388000 # O HOH
171 1 1 0.000000 92.454002 10.391000 82.842003 # AL UNL
172 2 1 0.000000 88.051003 7.275000 84.014999 # AL UNL
173 3 2 0.000000 88.105003 14.294000 81.708000 # O HOH
174 4 2 0.000000 98.153999 7.380000 83.637001 # O HOH
175 5 2 0.000000 84.820000 1.021000 86.178001 # O HOH
176 1 1 0.000000 70.630997 4.992000 24.940001 # AL UNL
177 2 1 0.000000 69.885002 5.308000 19.480000 # AL UNL
178 3 2 0.000000 73.727997 0.214000 23.205999 # O HOH
179 4 2 0.000000 67.727997 9.721000 28.316999 # O HOH
180 5 2 0.000000 67.158997 8.433000 13.394000 # O HOH
181 1 1 0.000000 60.326000 13.047000 48.187000 # AL UNL
182 2 1 0.000000 65.570000 12.086000 49.619999 # AL UNL
183 3 2 0.000000 62.543999 11.400000 42.915001 # O HOH
184 4 2 0.000000 56.527000 14.995000 53.082001 # O HOH
185 5 2 0.000000 71.099998 11.779000 54.473999 # O HOH
186 1 1 0.000000 59.215000 9.409000 49.251999 # AL UNL
187 2 1 0.000000 54.818001 12.681000 49.904999 # AL UNL
188 3 2 0.000000 61.196999 12.926000 53.625999 # O HOH
189 4 2 0.000000 58.525002 4.885000 44.641998 # O HOH
190 5 2 0.000000 47.995998 14.920000 48.264000 # O HOH
191 1 1 0.000000 104.819000 3.765000 20.302000 # AL UNL
192 2 1 0.000000 109.857002 3.043000 22.438999 # AL UNL
193 3 2 0.000000 108.102997 4.211000 15.357000 # O HOH
194 4 2 0.000000 100.004997 3.531000 24.656000 # O HOH
195 5 2 0.000000 114.514999 1.853000 28.017000 # O HOH
196 1 1 0.000000 43.196999 8.171000 47.598999 # AL UNL
197 2 1 0.000000 47.716999 5.022000 47.236000 # AL UNL
198 3 2 0.000000 41.855999 3.988000 51.616001 # O HOH
199 4 2 0.000000 43.203999 13.330000 43.653000 # O HOH
200 5 2 0.000000 54.332001 3.322000 44.483002 # O HOH
201 1 1 0.000000 4.502000 8.496000 37.984001 # AL UNL
202 2 1 0.000000 4.423000 11.158000 33.148998 # AL UNL
203 3 2 0.000000 4.263000 3.855000 34.264999 # O HOH
204 4 2 0.000000 4.768000 12.389000 43.178001 # O HOH
205 5 2 0.000000 4.455000 17.242001 29.000000 # O HOH
206 1 1 0.000000 18.569000 15.363000 38.403000 # AL UNL
207 2 1 0.000000 20.888000 10.355000 38.259998 # AL UNL
208 3 2 0.000000 20.351999 15.220000 32.724998 # O HOH
209 4 2 0.000000 16.080000 16.997999 44.174999 # O HOH
210 5 2 0.000000 22.878000 3.951000 41.304001 # O HOH
211 1 1 0.000000 84.603996 10.064000 87.003998 # AL UNL
212 2 1 0.000000 87.794998 6.423000 89.655998 # AL UNL
213 3 2 0.000000 89.772003 13.017000 86.973000 # O HOH
214 4 2 0.000000 78.438004 8.167000 86.245003 # O HOH
215 5 2 0.000000 88.988998 0.028000 93.108002 # O HOH
216 1 1 0.000000 5.069000 16.066000 45.182999 # AL UNL
217 2 1 0.000000 5.872000 11.336000 47.914001 # AL UNL
218 3 2 0.000000 0.720000 16.466999 49.227001 # O HOH
219 4 2 0.000000 9.219000 17.070000 40.287998 # O HOH
220 5 2 0.000000 9.385000 4.983000 49.151001 # O HOH
221 1 1 0.000000 97.911003 12.355000 87.882004 # AL UNL
222 2 1 0.000000 95.346001 9.330000 84.042999 # AL UNL
223 3 2 0.000000 96.116997 7.767000 91.223000 # O HOH
224 4 2 0.000000 100.485001 17.886999 85.652000 # O HOH
225 5 2 0.000000 93.043999 8.019000 77.170998 # O HOH
226 1 1 0.000000 44.132999 14.173000 64.109001 # AL UNL
227 2 1 0.000000 46.889999 10.004000 61.764999 # AL UNL
228 3 2 0.000000 43.123001 15.377000 58.368000 # O HOH
229 4 2 0.000000 44.333000 14.199000 70.601997 # O HOH
230 5 2 0.000000 51.035000 3.921000 61.992001 # O HOH
231 1 1 0.000000 49.576000 14.566000 71.716003 # AL UNL
232 2 1 0.000000 45.945999 10.424000 72.099998 # AL UNL
233 3 2 0.000000 49.033001 14.224000 77.634003 # O HOH
234 4 2 0.000000 51.205002 16.143000 65.628998 # O HOH
235 5 2 0.000000 41.554001 5.255000 69.232002 # O HOH
236 1 1 0.000000 71.429001 13.434000 19.625999 # AL UNL
237 2 1 0.000000 76.775002 13.790000 20.952999 # AL UNL
238 3 2 0.000000 73.787003 14.109000 14.203000 # O HOH
239 4 2 0.000000 67.457001 12.647000 24.705000 # O HOH
240 5 2 0.000000 82.359001 13.868000 25.754999 # O HOH
241 1 1 0.000000 14.509000 3.231000 20.124001 # AL UNL
242 2 1 0.000000 16.426001 7.930000 17.952999 # AL UNL
243 3 2 0.000000 18.106001 4.999000 24.524000 # O HOH
244 4 2 0.000000 10.307000 0.047000 16.329000 # O HOH
245 5 2 0.000000 16.864000 13.011000 12.640000 # O HOH
246 1 1 0.000000 82.735001 6.839000 87.567001 # AL UNL
247 2 1 0.000000 78.517998 9.735000 89.640999 # AL UNL
248 3 2 0.000000 81.219002 3.321000 92.123001 # O HOH
249 4 2 0.000000 85.521004 9.527000 82.350998 # O HOH
250 5 2 0.000000 73.918999 15.485000 89.737000 # O HOH
251 1 1 0.000000 63.445000 4.966000 83.744003 # AL UNL
252 2 1 0.000000 60.646000 9.596000 84.838997 # AL UNL
253 3 2 0.000000 62.409000 6.871000 78.200996 # O HOH
254 4 2 0.000000 65.324997 1.665000 89.013000 # O HOH
255 5 2 0.000000 57.610001 14.510000 89.407997 # O HOH
256 1 1 0.000000 91.319000 7.741000 83.589996 # AL UNL
257 2 1 0.000000 92.071999 12.344000 80.638000 # AL UNL
258 3 2 0.000000 96.302002 9.781000 86.126999 # O HOH
259 4 2 0.000000 86.065002 4.311000 81.908997 # O HOH
260 5 2 0.000000 90.213997 17.146000 75.372002 # O HOH
261 1 1 0.000000 105.092003 13.394000 16.471001 # AL UNL
262 2 1 0.000000 103.625000 8.227000 17.740999 # AL UNL
263 3 2 0.000000 108.463997 10.390000 12.593000 # O HOH
264 4 2 0.000000 102.125999 17.966000 20.006001 # O HOH
265 5 2 0.000000 99.807999 3.242000 21.591000 # O HOH
266 1 1 0.000000 105.926003 6.104000 74.429001 # AL UNL
267 2 1 0.000000 101.880997 2.503000 73.360001 # AL UNL
268 3 2 0.000000 107.632004 1.585000 77.907997 # O HOH
269 4 2 0.000000 105.408997 11.737000 71.237000 # O HOH
270 5 2 0.000000 95.672997 0.409000 69.998001 # O HOH
271 1 1 0.000000 98.945999 13.451000 76.011002 # AL UNL
272 2 1 0.000000 99.894997 8.099000 75.046997 # AL UNL
273 3 2 0.000000 104.727997 13.672000 74.615997 # O HOH
274 4 2 0.000000 92.827003 14.821000 77.707001 # O HOH
